;;;;;
1;1;418192.8660;1322826.4820;1/2;1
2;2;418175.2390;1322894.6260;1/2;1
3;3;418067.1450;1323062.7760;1/2;1
4;4;418047.8540;1323098.0960;1/2;1
5;5;418044.3800;1323113.4030;1/2;1
6;6;418020.7490;1323217.6970;1/2;1
7;7;418009.8130;1323317.0030;1/2;1
8;8;418039.4740;1323322.1590;1/2;1
9;9;418119.9190;1323347.3940;1/2;1
10;10;418120.9179;1323347.3473;1/2;1
11;11;418138.5840;1323346.5205;1/2;1
12;12;418175.0900;1323346.9360;1/2;1
13;13;418133.3050;1323308.2493;2/2;1
14;14;418131.2592;1323339.5649;2/2;1
15;10;418120.9179;1323347.3473;2/2;1
